,name,price,original_price,rating,reviews,color,storage
49,Galaxy A36 5G Certified Re-Newed (8 GB Memory),₹23249.00,MRP: ₹39499.00 (Incl. of all taxes),3.8,259,Awesome Lavender,128 GB
50,Galaxy A56 5G Certified Re-Newed (8 GB Memory),₹31499.00,MRP: ₹54999.00 (Incl. of all taxes),4,187,Awesome Olive,256 GB
51,Galaxy A56 5G Certified Re-Newed (12 GB Memory),₹32749.00,MRP: ₹59999.00 (Incl. of all taxes),4,187,Awesome Olive,256 GB
52,Galaxy F17 5G (8 GB Memory),₹20999.00,MRP: ₹28999.00 (Incl. of all taxes),,,Violet Pop,128 GB
53,Galaxy A56 5G Certified Re-Newed (8 GB Memory),₹31499.00,MRP: ₹54999.00 (Incl. of all taxes),4,187,Awesome Olive,256 GB
54,Galaxy A56 5G Certified Re-Newed (12 GB Memory),₹32749.00,MRP: ₹59999.00 (Incl. of all taxes),4,187,Awesome Olive,256 GB
55,Galaxy A06 (6 GB Memory),,,,,,
56,Galaxy S25 FE,₹52999.00,MRP: ₹79999.00 (Incl. of all taxes),,,Navy,256 GB
57,Galaxy S24,,,,,Amber Yellow,128 GB
58,Galaxy S25 Edge,₹84999.00,MRP: ₹109999.00 (Incl. of all taxes),4.7,817,Titanium Silver,256 GB
59,Galaxy F56 5G (8 GB Memory),₹27999.00,MRP: ₹33999.00 (Incl. of all taxes),,,Green,128 GB
60,Galaxy A26 5G (6 GB Memory),,,,,Mint,128 GB
61,Galaxy M56 5G (8 GB Memory),₹27999.00,MRP: ₹33999.00 (Incl. of all taxes),,,Light Green,128 GB
62,Galaxy A26 5G (8 GB Memory),₹24999.00,MRP: ₹30499.00 (Incl. of all taxes),4.2,348,Awesome Black,128 GB
63,Galaxy M16 5G (8 GB Memory),,,4,1,Thunder Black,128 GB
64,Galaxy M16 5G (6 GB Memory),,,4,1,Mint Green,128 GB
65,Galaxy M16 5G (4 GB Memory),,,4,1,Thunder Black,128 GB
66,Galaxy M06 5G (4 GB Memory),₹13999.00,MRP: ₹16999.00 (Incl. of all taxes),,,Blazing Black,128 GB
67,Galaxy F16 5G (8 GB Memory),,,,,Bling Black,128 GB
68,Galaxy F16 5G (6 GB Memory),,,,,Bling Black,128 GB
